-0.0500,-0.0400,485,=(C164+C166)/2,=(C165-D165)/SQRT(C165*(1-C165/$C$180)+0.25*(C164+C166)*(1-(C164+C166)/$C$180)),=2*(1-NORMSDIST(ABS(E165))),
-0.0400,-0.0300,580,=(C165+C167)/2,=(C166-D166)/SQRT(C166*(1-C166/$C$180)+0.25*(C165+C167)*(1-(C165+C167)/$C$180)),=2*(1-NORMSDIST(ABS(E166))),
-0.0300,-0.0200,629,=(C166+C168)/2,=(C167-D167)/SQRT(C167*(1-C167/$C$180)+0.25*(C166+C168)*(1-(C166+C168)/$C$180)),=2*(1-NORMSDIST(ABS(E167))),
-0.0200,-0.0100,714,=(C167+C169)/2,=(C168-D168)/SQRT(C168*(1-C168/$C$180)+0.25*(C167+C169)*(1-(C167+C169)/$C$180)),=2*(1-NORMSDIST(ABS(E168))),
-0.0100,0.0000,868,=(C168+C170)/2,=(C169-D169)/SQRT(C169*(1-C169/$C$180)+0.25*(C168+C170)*(1-(C168+C170)/$C$180)),=2*(1-NORMSDIST(ABS(E169))),just below zero
0.0000,0.0100,1083,=(C169+C171)/2,=(C170-D170)/SQRT(C170*(1-C170/$C$180)+0.25*(C169+C171)*(1-(C169+C171)/$C$180)),=2*(1-NORMSDIST(ABS(E170))),just above zero
0.0100,0.0200,1166,=(C170+C172)/2,=(C171-D171)/SQRT(C171*(1-C171/$C$180)+0.25*(C170+C172)*(1-(C170+C172)/$C$180)),=2*(1-NORMSDIST(ABS(E171))),
0.0200,0.0300,1223,=(C171+C173)/2,=(C172-D172)/SQRT(C172*(1-C172/$C$180)+0.25*(C171+C173)*(1-(C171+C173)/$C$180)),=2*(1-NORMSDIST(ABS(E172))),
0.0300,0.0400,1276,=(C172+C174)/2,=(C173-D173)/SQRT(C173*(1-C173/$C$180)+0.25*(C172+C174)*(1-(C172+C174)/$C$180)),=2*(1-NORMSDIST(ABS(E173))),
0.0400,0.0500,1228,=(C173+C175)/2,=(C174-D174)/SQRT(C174*(1-C174/$C$180)+0.25*(C173+C175)*(1-(C173+C175)/$C$180)),=2*(1-NORMSDIST(ABS(E174))),
0.0500,0.0600,1239,=(C174+C176)/2,=(C175-D175)/SQRT(C175*(1-C175/$C$180)+0.25*(C174+C176)*(1-(C174+C176)/$C$180)),=2*(1-NORMSDIST(ABS(E175))),
0.0600,0.0700,1142,=(C175+C177)/2,=(C176-D176)/SQRT(C176*(1-C176/$C$180)+0.25*(C175+C177)*(1-(C175+C177)/$C$180)),=2*(1-NORMSDIST(ABS(E176))),
0.0700,0.0800,934,=(C176+C178)/2,=(C177-D177)/SQRT(C177*(1-C177/$C$180)+0.25*(C176+C178)*(1-(C176+C178)/$C$180)),=2*(1-NORMSDIST(ABS(E177))),
0.0800,0.0900,829,=(C177+C179)/2,=(C178-D178)/SQRT(C178*(1-C178/$C$180)+0.25*(C177+C179)*(1-(C177+C179)/$C$180)),=2*(1-NORMSDIST(ABS(E178))),
0.0900,0.1000,721,,,,
N in window,,=SUM(C160:C179)
distribution,"=SPARKLINE(C160:C179,{""charttype"",""column"";""color"",""#2a78d6""})",,,,,<- 20 bars; zero is the boundary between bar 10 and 11

"PLACEBO — CFO / lagged assets, bin width 0.005"
"bin width 0.005; window |x| <= 0.10; zero on a bin boundary. Counts are pipeline values; expected, z and p are live formulas: expected = (count above + count below)/2, z = (count - expected)/sd with the binomial sd used in Burgstahler-Dichev."
bin_left,bin_right,count,expected,z,p_value,flag
-0.1000,-0.0950,97,,,,
-0.0950,-0.0900,103,=(C186+C188)/2,=(C187-D187)/SQRT(C187*(1-C187/$C$226)+0.25*(C186+C188)*(1-(C186+C188)/$C$226)),=2*(1-NORMSDIST(ABS(E187))),
-0.0900,-0.0850,104,=(C187+C189)/2,=(C188-D188)/SQRT(C188*(1-C188/$C$226)+0.25*(C187+C189)*(1-(C187+C189)/$C$226)),=2*(1-NORMSDIST(ABS(E188))),
-0.0850,-0.0800,130,=(C188+C190)/2,=(C189-D189)/SQRT(C189*(1-C189/$C$226)+0.25*(C188+C190)*(1-(C188+C190)/$C$226)),=2*(1-NORMSDIST(ABS(E189))),
-0.0800,-0.0750,131,=(C189+C191)/2,=(C190-D190)/SQRT(C190*(1-C190/$C$226)+0.25*(C189+C191)*(1-(C189+C191)/$C$226)),=2*(1-NORMSDIST(ABS(E190))),
-0.0750,-0.0700,124,=(C190+C192)/2,=(C191-D191)/SQRT(C191*(1-C191/$C$226)+0.25*(C190+C192)*(1-(C190+C192)/$C$226)),=2*(1-NORMSDIST(ABS(E191))),
-0.0700,-0.0650,148,=(C191+C193)/2,=(C192-D192)/SQRT(C192*(1-C192/$C$226)+0.25*(C191+C193)*(1-(C191+C193)/$C$226)),=2*(1-NORMSDIST(ABS(E192))),
-0.0650,-0.0600,130,=(C192+C194)/2,=(C193-D193)/SQRT(C193*(1-C193/$C$226)+0.25*(C192+C194)*(1-(C192+C194)/$C$226)),=2*(1-NORMSDIST(ABS(E193))),
-0.0600,-0.0550,148,=(C193+C195)/2,=(C194-D194)/SQRT(C194*(1-C194/$C$226)+0.25*(C193+C195)*(1-(C193+C195)/$C$226)),=2*(1-NORMSDIST(ABS(E194))),
-0.0550,-0.0500,149,=(C194+C196)/2,=(C195-D195)/SQRT(C195*(1-C195/$C$226)+0.25*(C194+C196)*(1-(C194+C196)/$C$226)),=2*(1-NORMSDIST(ABS(E195))),
-0.0500,-0.0450,141,=(C195+C197)/2,=(C196-D196)/SQRT(C196*(1-C196/$C$226)+0.25*(C195+C197)*(1-(C195+C197)/$C$226)),=2*(1-NORMSDIST(ABS(E196))),
-0.0450,-0.0400,168,=(C196+C198)/2,=(C197-D197)/SQRT(C197*(1-C197/$C$226)+0.25*(C196+C198)*(1-(C196+C198)/$C$226)),=2*(1-NORMSDIST(ABS(E197))),
-0.0400,-0.0350,162,=(C197+C199)/2,=(C198-D198)/SQRT(C198*(1-C198/$C$226)+0.25*(C197+C199)*(1-(C197+C199)/$C$226)),=2*(1-NORMSDIST(ABS(E198))),
-0.0350,-0.0300,182,=(C198+C200)/2,=(C199-D199)/SQRT(C199*(1-C199/$C$226)+0.25*(C198+C200)*(1-(C198+C200)/$C$226)),=2*(1-NORMSDIST(ABS(E199))),
-0.0300,-0.0250,180,=(C199+C201)/2,=(C200-D200)/SQRT(C200*(1-C200/$C$226)+0.25*(C199+C201)*(1-(C199+C201)/$C$226)),=2*(1-NORMSDIST(ABS(E200))),
-0.0250,-0.0200,215,=(C200+C202)/2,=(C201-D201)/SQRT(C201*(1-C201/$C$226)+0.25*(C200+C202)*(1-(C200+C202)/$C$226)),=2*(1-NORMSDIST(ABS(E201))),
-0.0200,-0.0150,240,=(C201+C203)/2,=(C202-D202)/SQRT(C202*(1-C202/$C$226)+0.25*(C201+C203)*(1-(C201+C203)/$C$226)),=2*(1-NORMSDIST(ABS(E202))),
-0.0150,-0.0100,238,=(C202+C204)/2,=(C203-D203)/SQRT(C203*(1-C203/$C$226)+0.25*(C202+C204)*(1-(C202+C204)/$C$226)),=2*(1-NORMSDIST(ABS(E203))),
-0.0100,-0.0050,300,=(C203+C205)/2,=(C204-D204)/SQRT(C204*(1-C204/$C$226)+0.25*(C203+C205)*(1-(C203+C205)/$C$226)),=2*(1-NORMSDIST(ABS(E204))),
-0.0050,0.0000,335,=(C204+C206)/2,=(C205-D205)/SQRT(C205*(1-C205/$C$226)+0.25*(C204+C206)*(1-(C204+C206)/$C$226)),=2*(1-NORMSDIST(ABS(E205))),just below zero
0.0000,0.0050,282,=(C205+C207)/2,=(C206-D206)/SQRT(C206*(1-C206/$C$226)+0.25*(C205+C207)*(1-(C205+C207)/$C$226)),=2*(1-NORMSDIST(ABS(E206))),just above zero
0.0050,0.0100,303,=(C206+C208)/2,=(C207-D207)/SQRT(C207*(1-C207/$C$226)+0.25*(C206+C208)*(1-(C206+C208)/$C$226)),=2*(1-NORMSDIST(ABS(E207))),
0.0100,0.0150,376,=(C207+C209)/2,=(C208-D208)/SQRT(C208*(1-C208/$C$226)+0.25*(C207+C209)*(1-(C207+C209)/$C$226)),=2*(1-NORMSDIST(ABS(E208))),
0.0150,0.0200,371,=(C208+C210)/2,=(C209-D209)/SQRT(C209*(1-C209/$C$226)+0.25*(C208+C210)*(1-(C208+C210)/$C$226)),=2*(1-NORMSDIST(ABS(E209))),
0.0200,0.0250,378,=(C209+C211)/2,=(C210-D210)/SQRT(C210*(1-C210/$C$226)+0.25*(C209+C211)*(1-(C209+C211)/$C$226)),=2*(1-NORMSDIST(ABS(E210))),
0.0250,0.0300,406,=(C210+C212)/2,=(C211-D211)/SQRT(C211*(1-C211/$C$226)+0.25*(C210+C212)*(1-(C210+C212)/$C$226)),=2*(1-NORMSDIST(ABS(E211))),
0.0300,0.0350,446,=(C211+C213)/2,=(C212-D212)/SQRT(C212*(1-C212/$C$226)+0.25*(C211+C213)*(1-(C211+C213)/$C$226)),=2*(1-NORMSDIST(ABS(E212))),
0.0350,0.0400,497,=(C212+C214)/2,=(C213-D213)/SQRT(C213*(1-C213/$C$226)+0.25*(C212+C214)*(1-(C212+C214)/$C$226)),=2*(1-NORMSDIST(ABS(E213))),
0.0400,0.0450,496,=(C213+C215)/2,=(C214-D214)/SQRT(C214*(1-C214/$C$226)+0.25*(C213+C215)*(1-(C213+C215)/$C$226)),=2*(1-NORMSDIST(ABS(E214))),
0.0450,0.0500,570,=(C214+C216)/2,=(C215-D215)/SQRT(C215*(1-C215/$C$226)+0.25*(C214+C216)*(1-(C214+C216)/$C$226)),=2*(1-NORMSDIST(ABS(E215))),
0.0500,0.0550,577,=(C215+C217)/2,=(C216-D216)/SQRT(C216*(1-C216/$C$226)+0.25*(C215+C217)*(1-(C215+C217)/$C$226)),=2*(1-NORMSDIST(ABS(E216))),
0.0550,0.0600,556,=(C216+C218)/2,=(C217-D217)/SQRT(C217*(1-C217/$C$226)+0.25*(C216+C218)*(1-(C216+C218)/$C$226)),=2*(1-NORMSDIST(ABS(E217))),
0.0600,0.0650,597,=(C217+C219)/2,=(C218-D218)/SQRT(C218*(1-C218/$C$226)+0.25*(C217+C219)*(1-(C217+C219)/$C$226)),=2*(1-NORMSDIST(ABS(E218))),
0.0650,0.0700,630,=(C218+C220)/2,=(C219-D219)/SQRT(C219*(1-C219/$C$226)+0.25*(C218+C220)*(1-(C218+C220)/$C$226)),=2*(1-NORMSDIST(ABS(E219))),
0.0700,0.0750,655,=(C219+C221)/2,=(C220-D220)/SQRT(C220*(1-C220/$C$226)+0.25*(C219+C221)*(1-(C219+C221)/$C$226)),=2*(1-NORMSDIST(ABS(E220))),
0.0750,0.0800,626,=(C220+C222)/2,=(C221-D221)/SQRT(C221*(1-C221/$C$226)+0.25*(C220+C222)*(1-(C220+C222)/$C$226)),=2*(1-NORMSDIST(ABS(E221))),
0.0800,0.0850,660,=(C221+C223)/2,=(C222-D222)/SQRT(C222*(1-C222/$C$226)+0.25*(C221+C223)*(1-(C221+C223)/$C$226)),=2*(1-NORMSDIST(ABS(E222))),
0.0850,0.0900,614,=(C222+C224)/2,=(C223-D223)/SQRT(C223*(1-C223/$C$226)+0.25*(C222+C224)*(1-(C222+C224)/$C$226)),=2*(1-NORMSDIST(ABS(E223))),
0.0900,0.0950,660,=(C223+C225)/2,=(C224-D224)/SQRT(C224*(1-C224/$C$226)+0.25*(C223+C225)*(1-(C223+C225)/$C$226)),=2*(1-NORMSDIST(ABS(E224))),
0.0950,0.1000,594,,,,
N in window,,=SUM(C186:C225)
distribution,"=SPARKLINE(C186:C225,{""charttype"",""column"";""color"",""#2a78d6""})",,,,,<- 40 bars; zero is the boundary between bar 20 and 21

ROBUSTNESS — every check from spec section 6 (values from notebooks/03_robustness.ipynb)
check,spec,bin_width,n_window,count_below,expected_below,z_below,p_below,count_above,expected_above,z_above,p_above
6.1 denominator,net income / lagged assets,0.0025,16018,246,252.0,-0.3144,0.7532,291,252.5,1.9061,0.0566
6.1 denominator,net income / lagged assets,0.005,16018,459,479.5,-0.7913,0.4288,550,496.0,1.954,0.0507
6.1 denominator,net income / lagged assets,0.01,16018,868,898.5,-0.8733,0.3825,1083,1017.0,1.731,0.0834
6.1 denominator,net income / revenue,0.0025,13452,166,220.5,-3.3132,0.0009,254,220.0,1.803,0.0714
6.1 denominator,net income / revenue,0.005,13452,353,422.0,-2.9652,0.003,528,406.0,4.6177,0.0
6.1 denominator,net income / revenue,0.01,13452,669,770.5,-3.2475,0.0012,987,852.0,3.7636,0.0002
6.1 denominator,net income / lagged book equity,0.0025,7177,88,100.5,-1.0728,0.2834,114,92.0,1.7557,0.0791
6.1 denominator,net income / lagged book equity,0.005,7177,175,194.5,-1.2031,0.2289,210,182.5,1.6136,0.1066
6.1 denominator,net income / lagged book equity,0.01,7177,354,345.5,0.383,0.7018,400,384.5,0.6613,0.5084
6.2 size tercile,small,0.0025,5340,100,93.5,0.5431,0.5871,111,95.0,1.2872,0.198
6.2 size tercile,small,0.005,5340,176,180.0,-0.2509,0.8019,201,178.0,1.3832,0.1666
6.2 size tercile,small,0.01,5340,335,333.5,0.0699,0.9442,381,353.5,1.2211,0.222
6.2 size tercile,medium,0.0025,5339,79,90.5,-1.0431,0.2969,102,83.5,1.5608,0.1186
6.2 size tercile,medium,0.005,5339,158,162.0,-0.2641,0.7917,190,170.0,1.2337,0.2173
6.2 size tercile,medium,0.01,5339,292,301.0,-0.4447,0.6565,372,355.5,0.7378,0.4606
6.2 size tercile,large,0.0025,5339,67,68.0,-0.1004,0.9201,78,74.0,0.3766,0.7065
6.2 size tercile,large,0.005,5339,125,137.5,-0.9134,0.361,159,148.0,0.7347,0.4625
6.2 size tercile,large,0.01,5339,241,264.0,-1.231,0.2183,330,308.0,1.0419,0.2974
6.3 size floor,assets >= $0m,0.0025,16480,252,260.5,-0.4394,0.6604,299,258.5,1.9791,0.0478
6.3 size floor,assets >= $0m,0.005,16480,474,493.0,-0.7222,0.4702,564,510.0,1.9287,0.0538
6.3 size floor,assets >= $0m,0.01,16480,896,925.5,-0.8317,0.4056,1110,1048.0,1.6048,0.1085
6.3 size floor,assets >= $1m,0.0025,16386,250,257.5,-0.3894,0.697,296,257.5,1.8891,0.0589
6.3 size floor,assets >= $1m,0.005,16386,469,490.5,-0.8208,0.4118,561,506.5,1.9522,0.0509
6.3 size floor,assets >= $1m,0.01,16386,889,921.5,-0.9194,0.3579,1105,1041.0,1.6609,0.0967
6.3 size floor,assets >= $10m,0.0025,16018,246,252.0,-0.3144,0.7532,291,252.5,1.9061,0.0566
6.3 size floor,assets >= $10m,0.005,16018,459,479.5,-0.7913,0.4288,550,496.0,1.954,0.0507
6.3 size floor,assets >= $10m,0.01,16018,868,898.5,-0.8733,0.3825,1083,1017.0,1.731,0.0834
6.3 size floor,assets >= $50m,0.0025,14929,222,235.5,-0.7401,0.4592,272,232.5,2.0272,0.0426
6.3 size floor,assets >= $50m,0.005,14929,421,448.0,-1.0846,0.2781,515,459.5,2.0787,0.0376
6.3 size floor,assets >= $50m,0.01,14929,802,836.0,-1.0114,0.3118,1013,949.0,1.7364,0.0825
6.3 size floor,assets >= $100m,0.0025,14193,211,221.5,-0.5915,0.5542,253,221.0,1.6971,0.0897
6.3 size floor,assets >= $100m,0.005,14193,401,419.0,-0.7431,0.4574,484,436.0,1.8515,0.0641
6.3 size floor,assets >= $100m,0.01,14193,755,784.0,-0.8892,0.3739,955,893.5,1.7181,0.0858
6.3 size floor,assets >= $500m,0.0025,11384,159,171.5,-0.807,0.4197,194,171.0,1.3904,0.1644
6.3 size floor,assets >= $500m,0.005,11384,308,324.0,-0.7522,0.4519,377,343.5,1.4608,0.1441
6.3 size floor,assets >= $500m,0.01,11384,579,612.0,-1.1506,0.2499,756,711.5,1.3954,0.1629
6.4 placebo,net income,0.0025,16018,246,252.0,-0.3144,0.7532,291,252.5,1.9061,0.0566
6.4 placebo,net income,0.005,16018,459,479.5,-0.7913,0.4288,550,496.0,1.954,0.0507
6.4 placebo,net income,0.01,16018,868,898.5,-0.8733,0.3825,1083,1017.0,1.731,0.0834
6.4 placebo,cash flow from operations,0.0025,13719,164,157.0,0.453,0.6505,143,151.5,-0.5789,0.5627
6.4 placebo,cash flow from operations,0.005,13719,335,291.0,2.0379,0.0416,282,319.0,-1.7879,0.0738
6.4 placebo,cash flow from operations,0.01,13719,635,531.5,3.5484,0.0004,585,691.0,-3.5922,0.0003

"EXCLUSION LOG — every sample filter, in order, with its count"
step,rows_before,rows_dropped,rows_after,firms_after,rationale
0. raw firm-years,57407,0,57407,10304,All 10-K firm-years assembled from the source.
1. restrict to fiscal years 2016-2025,57407,141,57266,10276,"Only these fiscal years are fully covered by the downloaded filing quarters. Stragglers outside the range are delinquent filers whose years are represented by a handful of firms, not a usable cross-section."
2. drop missing SIC,57266,550,56716,10078,Industry filters below cannot be applied without an industry code.
3. drop financial firms (SIC 6000-6999),56716,14590,42126,7251,"Bank and insurer balance sheets are structurally different; total assets does not mean the same thing, so scaling by it is not comparable."
4. drop utilities (SIC 4900-4949),42126,1404,40722,7034,"Rate-regulated returns make utility earnings mechanically smooth near a target; conventional in this literature. Optional filter, applied here."
5. drop missing net income,40722,703,40019,6979,"No numerator, no observation."
6. drop missing or non-positive lagged total assets,40019,764,39255,6882,"Denominator must exist and be positive; a non-positive denominator flips the sign of the scaled measure. Beginning-of-year assets, never end-of-year."
"7. size floor: lagged assets >= $10,000,000",39255,8011,31244,5366,Tiny denominators produce extreme scaled values and are the known source of the scaling artifact in Durtschi-Easton. Sensitivity to this floor is reported in robustness check 6.3.
8. one filing per firm-fiscal-year,31244,4,31240,5366,Amended and transition-period filings can duplicate a firm-year; the most recent period end is kept.
